売上日,品番,商品名,数量,売上単価,仕入単価,粗利,受注番号
2023/5/18 18:00,57400459,ハーレー純正■ スポーツスターS(RH1250S)用 クイックリリース・コンパクトウインドシールド ダークスモーク HARLEY-DAVIDSON Quick-Release Compact Windshield Dark Smoke,1,77550,50154,35,249-1771759-8430266
2023/5/18 18:00,PV-27300121,パインバレーオリジナル■アルミ鋳造 二次エア防止インテークマニホールド M8エンジン用,1,46750,41250,12,75230
2023/5/18 18:00,27300087,PV-446202730 パインバレーオリジナル■インテークマニホールドシールキット M8エンジン用 【1個】 | インマニ　シール　※1個,2,2310,656,72,75230
2023/5/18 18:00,27300082,PV-446202730 パインバレーオリジナル■インテークマニホールドシールキット M8エンジン用 【1個】 | ハーレー純正■インテークマニホールド用シール（スロットルボディとの接地面に使用するガスケット）,1,0,2814,,75230
2023/5/18 18:00,SV1-07-3301-3503,スラッシンサプライ■ ステルスグローブ フレイム 【M】 Thrashin Supply Stealth Glove - Flame バイク ハーレー,1,6980,,,410178-20230516-0307823715
2023/5/17 18:00,,送料,1,600,,,77819
2023/5/17 18:00,PV-17GK,【マフラー交換に必須】パインバレーオリジナル■2017年以降スポーツスター・ダイナ・ソフテイル用マフラージョイントガスケット2個セット [PV-17GK][65900017],1,3100,,,77819
2023/5/17 18:00,,送料,1,600,,,77821
2023/5/17 18:00,PV-PT2050,パインバレーオリジナル■【ハーレー専用】100%化学合成プラチナ・エンジンオイル [PV-PT2050],3,3300,1342,59,77821
2023/5/17 18:00,,ポイント,1,-286,,,77820
2023/5/17 18:00,600-082,【ゴールデンセール】アレンネス■クロスファイアー モンスターサッカー エアクリーナー コントラスト 【ツインカムケーブルスロットル】,1,55000,63151,-15,77820
2023/5/17 18:00,,ポイント,1,-1500,,,410178-20230517-0923423541
2023/5/17 18:00,as-pb,アドサウンド■専用追加プレート 【ブラック】 addSound plate 左右セット,2,2200,1760,20,410178-20230517-0923423541
2023/5/17 18:00,as-b,【抜群の操作性＆良質サウンド】 アドサウンド■ 次世代ヘルメットスピーカー 【ブラック】 addSound 骨伝導 Bluetooth ワイヤレス 高音質 バイク,1,29690,27456,8,410178-20230517-0923423541
2023/5/17 18:00,,送料,1,600,,,77843
2023/5/17 18:00,PV-17GK,【マフラー交換に必須】パインバレーオリジナル■2017年以降スポーツスター・ダイナ・ソフテイル用マフラージョイントガスケット2個セット [PV-17GK][65900017],1,3100,,,77843
2023/5/17 18:00,41000369,ハーレー純正■ クルーズコントロールキット 【16年以降 ソフテイル】 Harley Davidson  Cruise Control Kit [41000369],1,53800,32034,40,410178-20230517-0845923549
2023/5/17 18:00,,送料,1,600,,,77840
2023/5/17 18:00,,ポイント,1,-279,,,77840
2023/5/17 18:00,122-8300,【ゴールデンセール】FLOモータースポーツ■HD-800 フローティングブレーキローター 11.5インチ ディスク [122-8300][122-8301][122-8302][HD-800R ][HD-800GLD][HD-800S],1,16000,24006,-50,77840
2023/5/17 18:00,,送料,1,600,,,77857
